run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,136,0
200,237150,0,219725,0,219725,0,17425,17425,0,231,0
300,474300,60350,356150,39100,395250,0,18700,18700,0,228,0
400,711450,251600,272425,167450,439875,0,19975,19975,0,228,0
500,948600,314500,383350,135150,518500,0,21250,21250,94350,228,0
600,1185750,505750,299625,263500,563125,0,22525,22525,94350,228,0
700,1422900,568650,410550,208250,618800,0,23800,23800,211650,228,0
800,1660050,759900,326825,336600,663425,0,25075,25075,211650,228,0
900,1897200,822800,437750,281350,719100,0,26350,26350,328950,228,0
1000,2134350,1014050,354025,409700,763725,0,27625,27625,328950,228,0
1100,2371500,1076950,464504,354450,818954,0,28900,28900,446696,228,1
1200,2608650,1268200,381629,322150,703779,0,30175,30175,606496,228,0
1300,2845800,1331100,492554,266900,759454,0,31450,31450,723796,228,0
1400,3082950,1522350,408829,395250,804079,0,32725,32725,723796,228,0
1500,3320100,1585250,519754,340000,859754,0,34000,34000,841096,228,0
1600,3557250,1776500,436029,468350,904379,0,35275,35275,841096,228,0
1700,3794400,1839400,546954,413100,960054,0,36550,36550,958396,228,0
1800,4031550,2030650,463123,541450,1004573,0,37825,37825,958502,228,1
1900,4268700,2093550,574898,328950,903848,0,39100,39100,1232202,228,0
2000,4505850,2284800,478852,457300,936152,0,40375,40375,1244523,228,17
2100,4743000,2347700,577027,225250,802277,0,41650,41650,1551373,228,16
2200,4980150,2538950,480552,343400,823952,0,42925,42925,1574323,228,16
2300,5217300,2601850,578727,260950,839677,0,44200,44200,1731573,228,16
2400,5454450,2793100,481402,389300,870702,0,45475,45475,1745173,228,16
2500,5691600,2856000,578727,334050,912777,0,46750,46750,1876073,228,16
2600,5928750,3047250,481402,462400,943802,0,48025,48025,1889673,228,16
2700,6165900,3110150,578727,407150,985877,0,49300,49300,2020573,228,16
2800,6403050,3301400,481402,535500,1016902,0,50575,50575,2034173,228,16
2900,6640200,3364300,578727,480250,1058977,0,51850,51850,2165073,228,16
3000,6877350,3555550,481402,608600,1090002,0,53125,53125,2178673,228,16
3100,7114500,3618450,4250,60350,64600,493000,628027,1121027,2310423,228,17
3200,7351650,3619300,167025,62900,229925,493850,698152,1192002,2310423,224,0
3300,7588800,3619300,303025,94350,397375,537200,724502,1261702,2310423,3,0
